No,Nama Industri,Nama Pemilik,Nama Penanggung Jawab,Kecamatan,Kelurahan,Alamat,KBLI
16,Beza Etty Sasirangan (13134),BEZA ETTY MANAFE,BEZA ETTY MANAFE,Banjarmasin Timur (63.71.02),Sungai Lulut (63.71.02.1005),Jln. Pembina 5 no 16,13134 - INDUSTRI BATIK
17,Benny Sasirangan (13132),Benny Nurdiansyah,Benny Nurdiansyah,Banjarmasin Timur (63.71.02),Sungai Lulut (63.71.02.1005),Gatot subroto 6 jl.H. mahat kasan no.33 A,13132 - INDUSTRI PENYEMPURNAAN KAIN
18,Keysha Sasirangan,Anita,Anita,Banjarmasin Utara (63.71.04),Kuin Utara (63.71.04.1009),Jl Kuin Utara Rt 8 rw 1,13132 - INDUSTRI PENYEMPURNAAN KAIN
19,Gunarti sasirangan,Gunarti madia ningsih,Gunarti madia ningsih,Banjarmasin Barat (63.71.03),Pelambuan (63.71.03.1003),Jl. Bina karya Gg damai No.35 Rt.062,13132 - INDUSTRI PENYEMPURNAAN KAIN
20,Aldi sasirangan,ARIS MULYONO,ARIS MULYONO,Banjarmasin Barat (63.71.03),Pelambuan (63.71.03.1003),Aldi sasirangan,13132 - INDUSTRI PENYEMPURNAAN KAIN
1,Iyan sasirangan,Sarkianoor,Sarkianoor,Banjarmasin Barat (63.71.03),Kuin Cerucuk (63.71.03.1008),Jl .Belda Gg emas urai no 20 rt 25 rw.009,13132 - INDUSTRI PENYEMPURNAAN KAIN
2,baRikit Sasirangan by Acil Imas 13134,Rina Novian Artiany,Rina Novian Artiany,Banjarmasin Tengah (63.71.05),Pasar Lama (63.71.05.1006),Jl. Antasan kecil barat No.59 RT.014 RW. 002,13134 - INDUSTRI BATIK
3,Aya Sasirangan,Rahimah,Rahimah,Banjarmasin Barat (63.71.03),Pelambuan (63.71.03.1003),Jl. IR PHM Noor RT 68,13132 - INDUSTRI PENYEMPURNAAN KAIN
4,Kamila Galeri Sasirangan 13132,RIDUAN NOOR,RIDUAN NOOR,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jl. Seberang Mesjid No 19 RT. 5,13132 - INDUSTRI PENYEMPURNAAN KAIN
5,Pengrajin sasirangan samiah (13134),Samiah,Samiah,Banjarmasin Timur (63.71.02),Banua Anyar (63.71.02.1006),Jalan Pangeran Hidayatullah RT.17 RW.01,13134 - INDUSTRI BATIK
6,Ruth Oedi (sasirangan) (13132),RUTH MARLIANI OEDI,RUTH MARLIANI OEDI,Banjarmasin Tengah (63.71.05),Melayu (63.71.05.1009),Jl. Kampung Melayu GG. Nusantara No. 16 Rt. 10,13132 - INDUSTRI PENYEMPURNAAN KAIN
7,Alalak Sasirangan,Safrah,Safrah,Banjarmasin Utara (63.71.04),Alalak Tengah (63.71.04.1001),Jl Alalak Tengah No 34 Rt 12,13132 - INDUSTRI PENYEMPURNAAN KAIN
8,Ismi Clothing (kain sasirangan),Ismiati,Ismiati,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl Jahri Saleh Rt 9 no 50,13134 - INDUSTRI BATIK
9,Nela Sasirangan,Nela Alyda,Nela Alyda,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl Sungai Jingah rt 17 Gg Almuttaqin,13134 - INDUSTRI BATIK
10,Alalak Sasirangan,Safrah,Safrah,Banjarmasin Utara (63.71.04),Alalak Tengah (63.71.04.1001),Jl Alalak Tengah No 34 RT 12,13134 - INDUSTRI BATIK
11,Dian Lia Sasirangan (13134),Dian Lia Rahmayani,Dian Lia Rahmayani,Banjarmasin Timur (63.71.02),Pengambangan (63.71.02.1007),Jl. Veteran kompleks a yani 2 RT.26 no.20,13134 - INDUSTRI BATIK
12,Balakas (Sasirangan) (13134),Bustami,Bustami,Banjarmasin Timur (63.71.02),Karang Mekar (63.71.02.1003),Jl. Pekapuran A Rt. 16 Rw. 2 No. 2,13134 - INDUSTRI BATIK
13,SIE Sasirangan (13134),Yusi Librayana,Yusi Librayana,Banjarmasin Timur (63.71.02),Kuripan (63.71.02.1001),Jl. A Yani km 7.400 gg Al Munawarah RT 16,13134 - INDUSTRI BATIK
14,Syifa Sasirangan (13134),Endang Heriwiyani,Endang Heriwiyani,Banjarmasin Timur (63.71.02),Sungai Bilu (63.71.02.1004),Jl. Keramat Jaya RT 08 RW 01 no 07,13134 - INDUSTRI BATIK
15,Hasan Sasirangan,Hasan Basri,Hasan Basri,Banjarmasin Utara (63.71.04),Alalak Utara (63.71.04.1002),Jl Alalk Utara Komp Herlina Perkasa Permai RT 6 Rw 1 Blok A no 29,13134 - INDUSTRI BATIK
16,Sasirangan kayuh baimbai 13134,evawani rosita,evawani rosita,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jl pahlawan no 67 RT 7,13134 - INDUSTRI BATIK
17,ASSALAM SASIRANGAN 13134,Muhammad Redho,Muhammad Redho,Banjarmasin Tengah (63.71.05),Teluk Dalam (63.71.05.1004),JL MULAWARMAN GANG BUNTU,13134 - INDUSTRI BATIK
18,Beza Etty Sasirangan (13132),Beza Etty Manafe,Beza Etty Manafe,Banjarmasin Timur (63.71.02),Sungai Lulut (63.71.02.1005),"Jl. Pramuka Komplek Rahayu, jalan Pembina 4 no. 1",13132 - INDUSTRI PENYEMPURNAAN KAIN
19,Norhafizah Sasirangan,Norhafizah,Norhafizah,Banjarmasin Selatan (63.71.01),Pemurus Dalam (63.71.01.1010),Jl. gelatik no 6 komp.beruntung jaya,13132 - INDUSTRI PENYEMPURNAAN KAIN
20,ramli sasirangan,Ramli,Ramli,Banjarmasin Selatan (63.71.01),Kelayan Barat (63.71.01.1004),jl.rantauan timur 1 no 30,13132 - INDUSTRI PENYEMPURNAAN KAIN
1,RALIYA Sasirangan,TINA MAULIDA,TINA MAULIDA,Banjarmasin Barat (63.71.03),Pelambuan (63.71.03.1003),JL.IR PHM NOOR BINA KARYA SIMPANG JAGUNG RT 68 RW 04 NO 24,13132 - INDUSTRI PENYEMPURNAAN KAIN
2,Melli Sasirangan dan Tailor,Sampurna sari,Sampurna sari,Banjarmasin Utara (63.71.04),Antasan Kecil Timur (63.71.04.1008),Jl Antasan Kecil Timur,13134 - INDUSTRI BATIK
3,Hasan Sasirangan,Hasan Basri,Hasan Basri,Banjarmasin Utara (63.71.04),Alalak Utara (63.71.04.1002),Komp Herlina perkasa permai rt 06 rw 01 blok A no 29 Alalak Utara,13132 - INDUSTRI PENYEMPURNAAN KAIN
4,khanisa sasirangan (jasa motif),Arbainah,Arbainah,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl sungai jingah Rt 06,13132 - INDUSTRI PENYEMPURNAAN KAIN
5,Anisah Sasirangan,Fahrian,Fahrian,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl. Sungai jinggah Rt 17,13132 - INDUSTRI PENYEMPURNAAN KAIN
6,Dzifa Sasirangan,Laila ramdani,Laila Ramdani,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),jl sungai jingah rt 6 no 17,13132 - INDUSTRI PENYEMPURNAAN KAIN
7,Aisya Sasirangan,Muhammad Ricky Saputra,Muhammad Ricky Saputra,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),jl sungai jingah rt 6 no 31 gang sdn sei jingah 7,13132 - INDUSTRI PENYEMPURNAAN KAIN
8,Alfina Sasirangan,Syarfina Asriani,Syarfina Asriani,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),jl sungai jingah rt 6 no 66,13132 - INDUSTRI PENYEMPURNAAN KAIN
9,Keluarga Sasirangan,Nurul Zainah,Nurul Zainah,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),jl sungai jingah rt 6 no 65,13134 - INDUSTRI BATIK
10,Tiara Sasirangan,Tiara Maulida,Tiara Maulida,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),jl sungai jingah rt 17 no 31,13132 - INDUSTRI PENYEMPURNAAN KAIN
11,Hanna 99 sasirangan,surgi firdaus,devi triwahyuni,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),jl sungai jingah rt 17 no 94,13132 - INDUSTRI PENYEMPURNAAN KAIN
12,D'sujing sasirangan,Muhammad Rafi,Muhammad Rafi,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl sungai jingah rt 17 rw 01 no 94,13132 - INDUSTRI PENYEMPURNAAN KAIN
13,Azamlipa Sasirangan,Rima putri hardiani,Rima putri hardiani,Banjarmasin Barat (63.71.03),Basirih (63.71.03.1009),Jl. Banyiur dalam no 39 rt 42 rw 03,13132 - INDUSTRI PENYEMPURNAAN KAIN
14,Iyan sasirangan,Sarkianoor,Sarkianoor,Banjarmasin Barat (63.71.03),Kuin Cerucuk (63.71.03.1008),Jl .Belda Gg emas urai no 20 rt 25 rw.009,13134 - INDUSTRI BATIK
15,Berkat limpuar sasirangan,"RR. Hesti Tri Wulandari, SE","RR. Hesti Tri Wulandari, SE",Banjarmasin Barat (63.71.03),Telawang (63.71.03.1005),Jl teluk tiram darat no 27 rt 019 rw 002,13132 - INDUSTRI PENYEMPURNAAN KAIN
16,umaai sasirangan (13132),desi fatimah,desi fatimah,Banjarmasin Timur (63.71.02),Banua Anyar (63.71.02.1006),jl 9 nopember rt 17 no 64,13132 - INDUSTRI PENYEMPURNAAN KAIN
17,Sasirangan N.H,Noor Basniah,Noor Basniah,Banjarmasin Barat (63.71.03),Pelambuan (63.71.03.1003),Jl.Ir PHM Noor Gg. Bina karya Rt 068 rw.004,13132 - INDUSTRI PENYEMPURNAAN KAIN
18,sasirangan premium najwa,najwa nur putri,najwa nur putri,Banjarmasin Timur (63.71.02),Pekapuran Raya (63.71.02.1008),jl pekapuran raya ujung komp indah sari rt 7,13134 - INDUSTRI BATIK
19,jelujur samsiah (zahra sasirangan),samsiah,samsiah,Banjarmasin Utara (63.71.04),Alalak Tengah (63.71.04.1001),jl. alalak tengah rt 1,13132 - INDUSTRI PENYEMPURNAAN KAIN
20,Mawar Sasirangan,Mawar,Mawar,Banjarmasin Selatan (63.71.01),Mantuil (63.71.01.1001),Jl.Tanjung Pandan Rt 4 Rw 02 No 06,13132 - INDUSTRI PENYEMPURNAAN KAIN 
1,Butik badingsanakan sasirangan,Muhammad Madani,Muhammad Madani,Banjarmasin Utara (63.71.04),Surgi Mufti (63.71.04.1006),Jl.Sultan Adam Ruko 10 pintu No.13 Rt.36 Rw.3,13134 - INDUSTRI BATIK
2,Jelujur aminah (zahra sasirangan),Aminah,Aminah,Banjarmasin Utara (63.71.04),Alalak Tengah (63.71.04.1001),Jl alalak tengah rt 1 rw 1,13132 - INDUSTRI PENYEMPURNAAN KAIN
3,Jelujur diah (zahra sasirangan),Diah,Diah,Banjarmasin Utara (63.71.04),Alalak Tengah (63.71.04.1001),Jl alalak tengah rt 1 rw 1,13132 - INDUSTRI PENYEMPURNAAN KAIN
4,M.RIDHO SASIRANGAN,Rusnawati,Rusnawati,Banjarmasin Barat (63.71.03),Pelambuan (63.71.03.1003),JL.Bina Karya/ Simpang Jagung Gg.Damai No.112 Rt.62 Rw.04,13134 - INDUSTRI BATIK
5,FATUR SASIRANGAN,marwiyah,marwiyah,Banjarmasin Barat (63.71.03),Pelambuan (63.71.03.1003),Jl. Bina Karya Gg. Damai No 87 Rt.27 Rw.03,13132 - INDUSTRI PENYEMPURNAAN KAIN
6,Alika Sasirangan,Denny Kurniawan Agoes,Denny Kurniawan Agoes,Banjarmasin Selatan (63.71.01),Pemurus Dalam (63.71.01.1010),Jl.Sadewa VI No 7 Rt 24 Komp BPP,13134 - INDUSTRI BATIK
7,Alalak Sasirangan,Safrah,SDA,Banjarmasin Utara (63.71.04),Alalak Tengah (63.71.04.1001),Jl. Alalak Tengah Rt.12,13132 - INDUSTRI PENYEMPURNAAN KAIN
8,Ikm Bekantan Sasirangan (WUB),Akhmad Zaki,SDA,Banjarmasin Utara (63.71.04),Alalak Utara (63.71.04.1002),Jl. HKSN Rt.18 No.96 Komp. ABD 1 PersadaAlalak Utara,13132 - INDUSTRI PENYEMPURNAAN KAIN
9,Novi Sasirangan,Novi Sunarty,SDA,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl. Sungai Jingah Gg. Purnama,13132 - INDUSTRI PENYEMPURNAAN KAIN
10,Aldi sasirangan,Alpikah,Alpikah,Banjarmasin Barat (63.71.03),Pelambuan (63.71.03.1003),Jl.bina karya Gg. Perdana No.20 Rt.063 Rw.004,13134 - INDUSTRI BATIK
11,Bahagia Sasirangan,Dewi riana,Dewi riana,Banjarmasin Barat (63.71.03),Teluk Tiram (63.71.03.1006),Jl. Bahagia Rt.008 Rw.001 No.33,13134 - INDUSTRI BATIK
12,Gunarti sasirangan,Gunarti madia ningsih,Gunarti madia ningsih,Banjarmasin Barat (63.71.03),Pelambuan (63.71.03.1003),Jl. Bina karya Gg damai No.35 Rt.062,13134 - INDUSTRI BATIK
13,Ananda syifa sasirangan,Ratna juwita wati,Ratna juwita wati,Banjarmasin Barat (63.71.03),Pelambuan (63.71.03.1003),Jl. IR PHM NOOR Simpang Jagung Gg damai No.36 Rt.062 Rw 04,13132 - INDUSTRI PENYEMPURNAAN KAIN
14,Sabriena sasirangan / sahena sasirangan (13134),Ena sahena,Ena sahena,Banjarmasin Barat (63.71.03),Telawang (63.71.03.1005),Jl. Teluk Tiram darat Rt.19 Gg 01 No.17,13132 - INDUSTRI PENYEMPURNAAN KAIN
15,Hj. Purnama Sasirangan,Sri Hartaty,Sri Hartaty,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl. Sungai Jingah RT.17,13134 - INDUSTRI BATIK
16,Zakaria sasirangan,Suharni,Sda,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl sei jingah rt 17 no 56,13134 - INDUSTRI BATIK
17,Azira Sasirangan,Mahyupi,Mahyupi,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl. Sungai Jingah No.97 Rt.17,13134 - INDUSTRI BATIK
18,Maya Sasirangan,Maimunah,Sda,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl sei jingah rt 6 no 71,13134 - INDUSTRI BATIK
19,Arsyad Sasirangan,Umroh,Umroh,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl sei jingah rt 6 no 36,13134 - INDUSTRI BATIK
20,Rahimah sasirangan,Rahimah,Rahimah,Banjarmasin Barat (63.71.03),Pelambuan (63.71.03.1003),Jl. IR PHM NOOR No 24 Rt 68 Rw 4,13132 - INDUSTRI PENYEMPURNAAN KAIN
1,alya sasirangan,Anas,Sda,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl sei jingah rt 6 no 83 gang keluarga,13134 - INDUSTRI BATIK
2,Syifa sasirangan,Yurdani,Sda,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl sei jingah rt 6 no 14,13134 - INDUSTRI BATIK
3,Hikmah Sasirangan,Rofika,Sda,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl sei jingah rt 6,13134 - INDUSTRI BATIK
4,Rafie sasirangan,Hairullah,Rafii,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl sei jingah rt 6 no 75,13134 - INDUSTRI BATIK
5,zahra sasirangan,M Syaipullah,Sda,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl sei jingah no 35 rt 06,13134 - INDUSTRI BATIK
6,Alsahid sasirangan,RISMA WIDIYANTI,RISMA WIDIYANTI,Banjarmasin Timur (63.71.02),Karang Mekar (63.71.02.1003),"Jl ayani km 3,5 gang Binjai RT 8 no 73",13134 - INDUSTRI BATIK
7,Sasirangan PS 8,Marni Permata Sari,Marni Permata Sari,Banjarmasin Timur (63.71.02),Pemurus Luar (63.71.02.1009),Jl Ayani Km 5.5 Komp karya Mandiri no 34,13134 - INDUSTRI BATIK
8,R2 cahaya sasirangan,Normanati,/,Banjarmasin Timur (63.71.02),Banua Anyar (63.71.02.1006),Jl 9 November SDN Banua anyar 10 RT 17,13134 - INDUSTRI BATIK
9,Aman Sasirangan,Abdurrahman,Abdurrahman,Banjarmasin Utara (63.71.04),Sungai Andai (63.71.04.1010),Jl padat karya blok batu virus rt 46 no 32 sei andai,13134 - INDUSTRI BATIK
10,kantan sasirangan,sandi agustinus,Sandi agustinus,Banjarmasin Utara (63.71.04),Sungai Miai (63.71.04.1005),Jl sultan adam komp kadar permai 6 no 98,13134 - INDUSTRI BATIK
11,Alina sasirangan 13134,NOOR YURITHA,NOOR YURITHA,Banjarmasin Tengah (63.71.05),Sungai Baru (63.71.05.1010),Jl Pekapuran a no 8 RT 8,13134 - INDUSTRI BATIK
12,Mama Bungas Sasirangan,Muslim Sugianto,Muslim Sugianto,Banjarmasin Selatan (63.71.01),Mantuil (63.71.01.1001),Jl. tanjung pandan RT 05 RW 02,13134 - INDUSTRI BATIK
13,IKM Luthfiah Sasirangan,Hj Asmah,Luthfiah,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl Sungai Jingah Rt 17 No 82,13134 - INDUSTRI BATIK
14,Ayu sasirangan 13134,Gusti Sri Rahayu,Gusti Sri Rahayu,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Seberang mesjid no 10 RT 05,13134 - INDUSTRI BATIK
15,katuju sasirangan,Masnita Indah Sari,Masnita Indah Sari,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),jl seberang mesjid rt 06 no 3,13134 - INDUSTRI BATIK
16,Lina sasirangan 13134,Rusmalina,Rusmalina,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jalan Seberang mesjid RT.05 No.08,13134 - INDUSTRI BATIK
17,IKM Natural Sasirangan,Elfi Hepdina,Elfi Hepdina,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl Sungai Jingah Rt 17 Gang Hj Purnama no 91,13134 - INDUSTRI BATIK
18,Siska Sasirangan 13134,Siti Salmah,Siti Salmah,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jalan Seberang mesjid RT.05 Gang Sejoli No.16,13134 - INDUSTRI BATIK
19,IKM Pandawa Sasirangan,Kasuma Jaya,Kasuma Jaya,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl Sungai Jingah Rt 17 Gang Al Muttakin no 55,13134 - INDUSTRI BATIK
20,IKM IPAN BERKAH SASIRANGAN,Noripansyah,Noripanayah,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl Sungai Jingah Rt 17 Gang Al Muttakin no 55,13134 - INDUSTRI BATIK
1,Amay Sasirangan 13134,Hj. Siti Maimunah,Hj. Siti Maimunah,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jalan Seberang mesjid No.18 RT.05,13134 - INDUSTRI BATIK
2,Indah Sasirangan 13134,Gusti Rusdiani,Gusti Rusdiani,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Seberang Mesjid RT.06 No.2B,13134 - INDUSTRI BATIK
3,Sinar Fajar Sasirangan,Adi Santoso,Adi Santoso,Banjarmasin Barat (63.71.03),Pelambuan (63.71.03.1003),Jl. Bina Karya No. 63,13132 - INDUSTRI PENYEMPURNAAN KAIN
4,Azzka Sasirangan (13132),Siti Murniati,Siti Murniati,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl. Jahri Saleh Komp. Jafri Zam-zam Rt. 26 No. 177 Gg. Buntu,13132 - INDUSTRI PENYEMPURNAAN KAIN
5,Butik Badingsanakan Sasirangan,Muhammad Madani,Muhammad Madani,Banjarmasin Utara (63.71.04),Surgi Mufti (63.71.04.1006),Jalan Sultan Adam Rkuo 10 Pintu No.13 RT.36 RW.003,13132 - INDUSTRI PENYEMPURNAAN KAIN
6,Kamila Sasirangan,Riduan Noor,Riduan Noor,Banjarmasin Utara (63.71.04),Sungai Andai (63.71.04.1010),Jl. Padat Karya Komp. Perdana Mandiri Blok 6 Jalur 5 No. 91,13132 - INDUSTRI PENYEMPURNAAN KAIN
7,M.Ridho Sasirangan,Rusnawati,Rusnawati,Banjarmasin Barat (63.71.03),Pelambuan (63.71.03.1003),JL.Bina Karya /simp jagung GG.Damai NO.112 RT.62 RW.04,13132 - INDUSTRI PENYEMPURNAAN KAIN
8,Adim sasirangan,Herry rachamtullah Razak,Herry rachamtullah Razak,Banjarmasin Barat (63.71.03),Belitung Utara (63.71.03.1001),JL.Belitung darat GG.Rahayu NO.21 RT.18 RW.02,13132 - INDUSTRI PENYEMPURNAAN KAIN
9,Anugrah Sasirangan,Ahmad fadil,Ahmad FAdil,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jalan sungai jingah,13132 - INDUSTRI PENYEMPURNAAN KAIN
10,Aqila Sasirangan,Mahyudin,Mahyudin,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jalan sungai jingah rt 17 no 97,13132 - INDUSTRI PENYEMPURNAAN KAIN
